mode,species,dna_len,time_s,rf_distance,rf_accuracy,quartet_distance,quartet_accuracy,output_tree,status
fast,24,100000,3.109,0.047619,0.952381,0.989460,0.010540,output/test_fast_tree_24_100000.nwk,SUCCESS
regular,24,100000,2.442,0.047619,0.952381,0.989460,0.010540,output/test_regular_tree_24_100000.nwk,SUCCESS
fast,24,1000000,3.421,0.619048,0.380952,0.580181,0.419819,output/test_fast_tree_24_1000000.nwk,SUCCESS
regular,24,1000000,2.982,0.619048,0.380952,0.612836,0.387164,output/test_regular_tree_24_1000000.nwk,SUCCESS
fast,48,100000,11.762,0.000000,1.000000,1.000000,0.000000,output/test_fast_tree_48_100000.nwk,SUCCESS
regular,48,100000,11.944,0.000000,1.000000,1.000000,0.000000,output/test_regular_tree_48_100000.nwk,SUCCESS
fast,48,1000000,12.272,0.000000,1.000000,1.000000,0.000000,output/test_fast_tree_48_1000000.nwk,SUCCESS
regular,48,1000000,12.241,0.000000,1.000000,1.000000,0.000000,output/test_regular_tree_48_1000000.nwk,SUCCESS
fast,96,100000,23.698,0.043011,0.956989,0.997500,0.002500,output/test_fast_tree_96_100000.nwk,SUCCESS
regular,96,100000,24.948,0.043011,0.956989,0.997200,0.002800,output/test_regular_tree_96_100000.nwk,SUCCESS
fast,96,1000000,28.679,0.086022,0.913978,0.996050,0.003950,output/test_fast_tree_96_1000000.nwk,SUCCESS
regular,96,1000000,29.262,0.086022,0.913978,0.996250,0.003750,output/test_regular_tree_96_1000000.nwk,SUCCESS
